,id,items,quantity_items,support,items_base,quantity_items_base,items_add,quantity_items_add,confidence,lift
61,34.0,burgers olive_oil parmesan_cheese,3.0,0.0033333333333333335,burgers olive_oil,2.0,parmesan_cheese,1.0,1.0,25.0
62,34.0,burgers olive_oil parmesan_cheese,3.0,0.0033333333333333335,burgers parmesan_cheese,2.0,olive_oil,1.0,1.0,21.428571428571427
63,34.0,burgers olive_oil parmesan_cheese,3.0,0.0033333333333333335,olive_oil parmesan_cheese,2.0,burgers,1.0,0.5,16.666666666666668
64,35.0,butter champagne escalope,3.0,0.0033333333333333335,butter champagne,2.0,escalope,1.0,0.5,10.714285714285714
65,35.0,butter champagne escalope,3.0,0.0033333333333333335,butter escalope,2.0,champagne,1.0,1.0,25.0
66,35.0,butter champagne escalope,3.0,0.0033333333333333335,champagne escalope,2.0,butter,1.0,0.5,18.75
67,36.0,butter champagne french_fries,3.0,0.0033333333333333335,butter champagne,2.0,french_fries,1.0,0.5,15.0
68,36.0,butter champagne french_fries,3.0,0.0033333333333333335,butter french_fries,2.0,champagne,1.0,1.0,25.0
69,36.0,butter champagne french_fries,3.0,0.0033333333333333335,champagne french_fries,2.0,butter,1.0,1.0,37.5
70,37.0,butter escalope french_fries,3.0,0.0033333333333333335,butter escalope,2.0,french_fries,1.0,1.0,30.0
71,37.0,butter escalope french_fries,3.0,0.0033333333333333335,butter french_fries,2.0,escalope,1.0,1.0,21.428571428571427
72,37.0,butter escalope french_fries,3.0,0.0033333333333333335,escalope french_fries,2.0,butter,1.0,1.0,37.5
73,38.0,butter grated_cheese pancakes,3.0,0.0033333333333333335,butter grated_cheese,2.0,pancakes,1.0,1.0,20.0
74,38.0,butter grated_cheese pancakes,3.0,0.0033333333333333335,butter pancakes,2.0,grated_cheese,1.0,1.0,37.5
75,38.0,butter grated_cheese pancakes,3.0,0.0033333333333333335,grated_cheese pancakes,2.0,butter,1.0,1.0,37.5
76,39.0,butter grated_cheese whole_wheat_pasta,3.0,0.0033333333333333335,butter grated_cheese,2.0,whole_wheat_pasta,1.0,1.0,33.333333333333336
77,39.0,butter grated_cheese whole_wheat_pasta,3.0,0.0033333333333333335,butter whole_wheat_pasta,2.0,grated_cheese,1.0,1.0,37.5
78,39.0,butter grated_cheese whole_wheat_pasta,3.0,0.0033333333333333335,grated_cheese whole_wheat_pasta,2.0,butter,1.0,1.0,37.5
79,40.0,butter pancakes whole_wheat_pasta,3.0,0.0033333333333333335,butter pancakes,2.0,whole_wheat_pasta,1.0,1.0,33.333333333333336
80,40.0,butter pancakes whole_wheat_pasta,3.0,0.0033333333333333335,butter whole_wheat_pasta,2.0,pancakes,1.0,1.0,20.0
81,40.0,butter pancakes whole_wheat_pasta,3.0,0.0033333333333333335,pancakes whole_wheat_pasta,2.0,butter,1.0,0.5,18.75
82,41.0,cake chicken frozen_smoothie,3.0,0.0033333333333333335,cake chicken,2.0,frozen_smoothie,1.0,1.0,21.428571428571427
83,41.0,cake chicken frozen_smoothie,3.0,0.0033333333333333335,cake frozen_smoothie,2.0,chicken,1.0,0.33333333333333337,8.333333333333334
84,41.0,cake chicken frozen_smoothie,3.0,0.0033333333333333335,chicken frozen_smoothie,2.0,cake,1.0,1.0,20.0
85,42.0,cake chicken tomatoes,3.0,0.0033333333333333335,cake chicken,2.0,tomatoes,1.0,1.0,20.0
86,42.0,cake chicken tomatoes,3.0,0.0033333333333333335,cake tomatoes,2.0,chicken,1.0,1.0,25.0
87,42.0,cake chicken tomatoes,3.0,0.0033333333333333335,chicken tomatoes,2.0,cake,1.0,0.5,10.0
88,43.0,cake chocolate low_fat_yogurt,3.0,0.0033333333333333335,cake chocolate,2.0,low_fat_yogurt,1.0,1.0,42.857142857142854
89,43.0,cake chocolate low_fat_yogurt,3.0,0.0033333333333333335,cake low_fat_yogurt,2.0,chocolate,1.0,0.5,8.823529411764707
90,43.0,cake chocolate low_fat_yogurt,3.0,0.0033333333333333335,chocolate low_fat_yogurt,2.0,cake,1.0,1.0,20.0
91,44.0,cake escalope frozen_smoothie,3.0,0.0033333333333333335,cake escalope,2.0,frozen_smoothie,1.0,0.5,10.714285714285714
92,44.0,cake escalope frozen_smoothie,3.0,0.0033333333333333335,cake frozen_smoothie,2.0,escalope,1.0,0.33333333333333337,7.142857142857143
93,44.0,cake escalope frozen_smoothie,3.0,0.0033333333333333335,escalope frozen_smoothie,2.0,cake,1.0,1.0,20.0
94,45.0,cake frozen_smoothie milk,3.0,0.0033333333333333335,cake frozen_smoothie,2.0,milk,1.0,0.33333333333333337,12.5
95,45.0,cake frozen_smoothie milk,3.0,0.0033333333333333335,cake milk,2.0,frozen_smoothie,1.0,0.5,10.714285714285714
96,45.0,cake frozen_smoothie milk,3.0,0.0033333333333333335,frozen_smoothie milk,2.0,cake,1.0,1.0,20.0
97,46.0,cake frozen_smoothie tomatoes,3.0,0.0033333333333333335,cake frozen_smoothie,2.0,tomatoes,1.0,0.33333333333333337,6.666666666666667
98,46.0,cake frozen_smoothie tomatoes,3.0,0.0033333333333333335,cake tomatoes,2.0,frozen_smoothie,1.0,1.0,21.428571428571427
99,46.0,cake frozen_smoothie tomatoes,3.0,0.0033333333333333335,frozen_smoothie tomatoes,2.0,cake,1.0,1.0,20.0
100,47.0,cake green_tea mineral_water,3.0,0.0033333333333333335,cake green_tea,2.0,mineral_water,1.0,1.0,25.0
101,47.0,cake green_tea mineral_water,3.0,0.0033333333333333335,cake mineral_water,2.0,green_tea,1.0,1.0,37.5
102,47.0,cake green_tea mineral_water,3.0,0.0033333333333333335,green_tea mineral_water,2.0,cake,1.0,1.0,20.0
103,48.0,champagne escalope french_fries,3.0,0.0033333333333333335,champagne escalope,2.0,french_fries,1.0,0.5,15.0
104,48.0,champagne escalope french_fries,3.0,0.0033333333333333335,champagne french_fries,2.0,escalope,1.0,1.0,21.428571428571427
105,48.0,champagne escalope french_fries,3.0,0.0033333333333333335,escalope french_fries,2.0,champagne,1.0,1.0,25.0
106,49.0,champagne shrimp turkey,3.0,0.0033333333333333335,champagne shrimp,2.0,turkey,1.0,1.0,30.0
107,49.0,champagne shrimp turkey,3.0,0.0033333333333333335,champagne turkey,2.0,shrimp,1.0,1.0,27.272727272727273
108,49.0,champagne shrimp turkey,3.0,0.0033333333333333335,shrimp turkey,2.0,champagne,1.0,1.0,25.0
109,50.0,chicken chocolate whole_wheat_pasta,3.0,0.0033333333333333335,chicken chocolate,2.0,whole_wheat_pasta,1.0,1.0,33.333333333333336
110,50.0,chicken chocolate whole_wheat_pasta,3.0,0.0033333333333333335,chicken whole_wheat_pasta,2.0,chocolate,1.0,1.0,17.647058823529413
111,50.0,chicken chocolate whole_wheat_pasta,3.0,0.0033333333333333335,chocolate whole_wheat_pasta,2.0,chicken,1.0,1.0,25.0
112,51.0,chicken chocolate whole_wheat_rice,3.0,0.0033333333333333335,chicken chocolate,2.0,whole_wheat_rice,1.0,1.0,27.272727272727273
113,51.0,chicken chocolate whole_wheat_rice,3.0,0.0033333333333333335,chicken whole_wheat_rice,2.0,chocolate,1.0,1.0,17.647058823529413
114,51.0,chicken chocolate whole_wheat_rice,3.0,0.0033333333333333335,chocolate whole_wheat_rice,2.0,chicken,1.0,1.0,25.0
115,52.0,chicken energy_bar grated_cheese,3.0,0.0033333333333333335,chicken energy_bar,2.0,grated_cheese,1.0,1.0,37.5
116,52.0,chicken energy_bar grated_cheese,3.0,0.0033333333333333335,chicken grated_cheese,2.0,energy_bar,1.0,0.33333333333333337,14.285714285714286
117,52.0,chicken energy_bar grated_cheese,3.0,0.0033333333333333335,energy_bar grated_cheese,2.0,chicken,1.0,1.0,25.0
118,53.0,chicken frozen_smoothie tomatoes,3.0,0.0033333333333333335,chicken frozen_smoothie,2.0,tomatoes,1.0,1.0,20.0
119,53.0,chicken frozen_smoothie tomatoes,3.0,0.0033333333333333335,chicken tomatoes,2.0,frozen_smoothie,1.0,0.5,10.714285714285714
120,53.0,chicken frozen_smoothie tomatoes,3.0,0.0033333333333333335,frozen_smoothie tomatoes,2.0,chicken,1.0,1.0,25.0
121,54.0,chicken pickles tomatoes,3.0,0.0033333333333333335,chicken pickles,2.0,tomatoes,1.0,1.0,20.0
122,54.0,chicken pickles tomatoes,3.0,0.0033333333333333335,chicken tomatoes,2.0,pickles,1.0,0.5,11.538461538461538
123,54.0,chicken pickles tomatoes,3.0,0.0033333333333333335,pickles tomatoes,2.0,chicken,1.0,0.33333333333333337,8.333333333333334
124,55.0,chicken soup turkey,3.0,0.0033333333333333335,chicken soup,2.0,turkey,1.0,1.0,30.0
125,55.0,chicken soup turkey,3.0,0.0033333333333333335,chicken turkey,2.0,soup,1.0,1.0,18.75
126,55.0,chicken soup turkey,3.0,0.0033333333333333335,soup turkey,2.0,chicken,1.0,1.0,25.0
127,56.0,chicken whole_wheat_pasta whole_wheat_rice,3.0,0.0033333333333333335,chicken whole_wheat_pasta,2.0,whole_wheat_rice,1.0,1.0,27.272727272727273
128,56.0,chicken whole_wheat_pasta whole_wheat_rice,3.0,0.0033333333333333335,chicken whole_wheat_rice,2.0,whole_wheat_pasta,1.0,1.0,33.333333333333336
129,56.0,chicken whole_wheat_pasta whole_wheat_rice,3.0,0.0033333333333333335,whole_wheat_pasta whole_wheat_rice,2.0,chicken,1.0,0.5,12.5
130,57.0,chocolate cookies eggs,3.0,0.0033333333333333335,chocolate cookies,2.0,eggs,1.0,0.5,16.666666666666668
131,57.0,chocolate cookies eggs,3.0,0.0033333333333333335,chocolate eggs,2.0,cookies,1.0,1.0,25.0
132,57.0,chocolate cookies eggs,3.0,0.0033333333333333335,cookies eggs,2.0,chocolate,1.0,1.0,17.647058823529413
133,58.0,chocolate cookies soup,3.0,0.0033333333333333335,chocolate cookies,2.0,soup,1.0,0.5,9.375
134,58.0,chocolate cookies soup,3.0,0.0033333333333333335,chocolate soup,2.0,cookies,1.0,1.0,25.0
135,58.0,chocolate cookies soup,3.0,0.0033333333333333335,cookies soup,2.0,chocolate,1.0,1.0,17.647058823529413
136,59.0,chocolate escalope herb_&_pepper,3.0,0.0033333333333333335,chocolate escalope,2.0,herb_&_pepper,1.0,1.0,18.75
137,59.0,chocolate escalope herb_&_pepper,3.0,0.0033333333333333335,chocolate herb_&_pepper,2.0,escalope,1.0,1.0,21.428571428571427
138,59.0,chocolate escalope herb_&_pepper,3.0,0.0033333333333333335,escalope herb_&_pepper,2.0,chocolate,1.0,1.0,17.647058823529413
139,60.0,chocolate escalope olive_oil,3.0,0.0033333333333333335,chocolate escalope,2.0,olive_oil,1.0,1.0,21.428571428571427
140,60.0,chocolate escalope olive_oil,3.0,0.0033333333333333335,chocolate olive_oil,2.0,escalope,1.0,1.0,21.428571428571427
141,60.0,chocolate escalope olive_oil,3.0,0.0033333333333333335,escalope olive_oil,2.0,chocolate,1.0,1.0,17.647058823529413
142,61.0,chocolate frozen_vegetables shrimp,3.0,0.0033333333333333335,chocolate frozen_vegetables,2.0,shrimp,1.0,0.5,13.636363636363637
143,61.0,chocolate frozen_vegetables shrimp,3.0,0.0033333333333333335,chocolate shrimp,2.0,frozen_vegetables,1.0,1.0,18.75
144,61.0,chocolate frozen_vegetables shrimp,3.0,0.0033333333333333335,frozen_vegetables shrimp,2.0,chocolate,1.0,0.5,8.823529411764707
145,62.0,chocolate herb_&_pepper olive_oil,3.0,0.0033333333333333335,chocolate herb_&_pepper,2.0,olive_oil,1.0,1.0,21.428571428571427
146,62.0,chocolate herb_&_pepper olive_oil,3.0,0.0033333333333333335,chocolate olive_oil,2.0,herb_&_pepper,1.0,1.0,18.75
147,62.0,chocolate herb_&_pepper olive_oil,3.0,0.0033333333333333335,herb_&_pepper olive_oil,2.0,chocolate,1.0,0.5,8.823529411764707
148,63.0,chocolate parmesan_cheese vegetables_mix,3.0,0.0033333333333333335,chocolate parmesan_cheese,2.0,vegetables_mix,1.0,0.5,7.5
149,63.0,chocolate parmesan_cheese vegetables_mix,3.0,0.0033333333333333335,chocolate vegetables_mix,2.0,parmesan_cheese,1.0,1.0,25.0
150,63.0,chocolate parmesan_cheese vegetables_mix,3.0,0.0033333333333333335,parmesan_cheese vegetables_mix,2.0,chocolate,1.0,1.0,17.647058823529413
